0.0351898090129 0.435723595817 0.737589162746 0.190440715791 0.985155523014 0.178240311236
0.66053947634 0.726030669056 0.366381091501 0.339769926013 0.0881672711658 0.199574337382
0.05698446499489085
3 2 5 0 1 4
5 1 0 2 3 4
4 1 2 3 0 5
1 5 4 0 2 3
5 1 3 0 4 2
0 5 1 2 4 3
2 3 0 1 5 4
1 5 3 4 0 2
5 1 0 3 2 4
5 0 1 4 2 3
1 5 3 0 4 2
2 0 4 1 5 3
3 1 5 4 2 0
5 4 3 1 2 0
5 0 2 1 3 4
4 1 2 3 0 5
1 4 0 2 3 5
1 3 4 2 5 0
4 1 2 3 5 0
1 5 4 0 2 3
0 1 2 3 5 4
2 1 4 0 3 5
5 1 2 3 0 4
0 4 1 2 5 3
0 1 4 2 5 3
1 4 3 5 2 0
2 1 0 3 4 5
3 5 2 4 1 0
1 4 5 2 3 0
1 5 0 2 4 3
4 1 5 0 3 2
3 0 2 1 4 5
0 5 4 2 1 3
1 2 0 4 3 5
0 5 1 3 2 4
5 0 2 4 3 1
0 5 2 1 3 4
0 5 4 1 3 2
1 4 5 3 0 2
0 2 4 1 5 3
3 0 4 1 5 2
1 0 3 5 2 4
1 4 2 5 0 3
1 2 4 5 0 3
1 5 3 2 0 4
0 5 4 1 2 3
4 2 3 0 1 5
5 0 3 1 4 2
3 1 5 2 4 0
4 0 2 1 3 5
0 4 5 1 3 2
1 3 0 5 2 4
0 1 5 2 3 4
2 0 1 4 5 3
0 1 4 5 2 3
3 2 0 4 1 5
3 4 0 2 1 5
2 4 0 3 5 1
0 1 5 2 4 3
0 1 5 2 3 4
5 0 2 1 4 3
1 3 0 5 2 4
5 3 2 1 0 4
0 2 3 5 4 1
3 1 2 0 4 5
3 0 5 1 2 4
1 5 2 0 4 3
2 4 0 3 1 5
5 0 1 2 3 4
0 5 2 3 1 4
5 0 2 3 1 4
1 5 4 2 0 3
1 5 0 4 3 2
1 5 3 4 0 2
2 5 3 0 1 4
1 4 2 0 3 5
0 1 2 3 4 5
2 5 1 3 0 4
3 5 0 2 1 4
1 0 4 2 5 3
5 0 1 4 2 3
5 2 1 3 0 4
5 2 0 3 1 4
0 1 5 4 3 2
1 0 5 2 4 3
1 4 5 0 2 3
0 3 1 5 2 4
0 5 3 4 2 1
0 3 2 5 4 1
5 2 1 4 3 0
0 1 2 5 3 4
5 1 0 4 2 3
0 5 1 2 4 3
0 3 1 4 2 5
3 2 5 4 1 0
3 0 1 4 2 5
2 3 4 1 0 5
5 0 1 4 3 2
0 1 2 5 4 3
3 0 2 5 1 4
4 2 5 3 1 0
0 3 2 1 5 4
3 1 0 5 2 4
5 1 3 2 4 0
0 3 5 2 1 4
1 4 3 0 2 5
3 5 1 4 2 0
3 1 2 5 0 4
0 3 2 4 5 1
0 1 4 5 3 2
2 4 0 3 5 1
2 3 0 1 4 5
0 1 5 3 2 4
2 3 0 5 4 1
1 3 2 5 0 4
5 1 0 4 2 3
1 4 0 3 2 5
3 1 5 4 2 0
1 0 3 5 2 4
1 0 5 3 4 2
1 3 4 2 5 0
5 1 0 2 3 4
1 5 2 4 0 3
3 0 5 4 1 2
3 5 4 1 0 2
5 2 3 4 1 0
2 0 1 3 4 5
4 0 2 1 3 5
2 3 1 5 0 4
0 5 1 4 3 2
1 2 0 4 3 5
0 2 1 5 4 3
5 3 0 2 1 4
4 5 1 2 0 3
4 1 0 2 3 5
1 5 3 4 0 2
2 3 4 5 1 0
1 0 2 4 3 5
1 3 0 2 4 5
0 4 2 5 3 1
2 3 0 1 4 5
0 4 5 2 1 3
1 3 2 4 0 5
0 4 5 1 2 3
3 5 2 0 1 4
1 0 4 2 5 3
2 4 3 0 1 5
3 2 5 4 0 1
3 4 5 0 2 1
0 5 3 1 4 2
1 4 5 2 3 0
3 0 4 2 1 5
1 2 3 0 4 5
2 0 4 3 5 1
5 2 1 4 3 0
0 2 5 3 1 4
5 2 0 1 3 4
2 0 5 1 3 4
2 1 0 3 5 4
3 2 5 0 4 1
0 2 5 3 1 4
1 3 0 2 4 5
1 3 0 2 5 4
2 1 3 0 5 4
0 3 1 5 4 2
3 4 0 1 2 5
5 2 1 4 3 0
1 2 5 0 3 4
5 1 4 2 0 3
1 0 2 4 3 5
0 2 5 3 1 4
2 0 1 3 4 5
2 1 3 0 5 4
0 1 3 5 2 4
4 3 5 2 0 1
0 3 1 4 2 5
5 1 3 2 4 0
1 5 3 4 2 0
5 1 4 3 0 2
1 5 0 2 3 4
1 5 4 3 0 2
1 0 5 3 2 4
3 0 1 5 4 2
1 3 2 5 0 4
0 1 2 5 4 3
2 4 1 0 3 5
1 0 3 5 2 4
2 0 5 4 3 1
3 1 5 0 2 4
4 0 3 5 2 1
1 5 0 3 4 2
1 0 4 2 5 3
2 1 3 0 4 5
